Nombre del Restaurante,Presupuesto Mínimo
5 Esquinas trattoria,4600.0 pesos
7 de espada,3100.0 pesos
Altahabana_Club,1950.0 pesos
Al Campestre,2080.0 pesos
Amalfi,5540.0 pesos
Anillo Habanero,2450.0 pesos
Antojos,4530.0 pesos
Asia Cuba,2725 pesos
Atlanta,2250.0 pesos
Bodegón del Asado,1650 pesos
Bone'Ma 62,2250.0 pesos
Cafe 4 Lunas,3550.0 pesos
Aroma de Café,440 pesos
Café D la Esquina,2750 pesos
Cafe Tilin,2050.0 pesos
Casa Mia,5550.0 pesos
ChaChaCha,3300.0 pesos
Coco Blue,3150.0 pesos
Colesterol 5.1,1475 pesos
Crispy Ckicken,2250.0 pesos
Decamerón,3640 pesos
Dominica Like,1720.0 pesos
Doña Alicia,1375.0 pesos
Donna Almira,1915.0 pesos
El Pavo,1460.0 pesos
El Pelícano,770.0 pesos
El biky,1850.0 pesos
El cuarto de tula,2410.0 pesos
El Farallon,2120.0 pesos
El Lechoncito,2300.0 pesos
El Palenque,330.0 pesos
Esquina D-Fraile ,3000 pesos
Finca La Pinta,1870 pesos
Fuumiyaki,2500 pesos
Galy Cafe,2370.0 pesos
Habana Blues,1110 pesos
Heredia,2200.0 pesos
Jota Jota,3300.0 pesos
Juanky's Pan,1205 pesos
Kasa Takos,1300 pesos
Kimera,1900.0 pesos
La Juliana,2500 pesos
Mimosa,2625 pesos
Las Clavellinas ,4700.0 dólares
Lateral,2150.0 pesos
La Caribeña,2350.0 pesos
La Carreta,1900 pesos
La Casa Quinta,1800.0 pesos
La Chucheria,1850.0 pesos
La Fela,2150.0 pesos
La fransesa,2600.0 pesos
La Lola,2800 pesos
La Novia,1570 pesos
La Paila,3100.0 pesos
La Patrona,1300.0 pesos
La Ronda,980.0 pesos
La ruta de Hemingway,3400.0 pesos
La Torre de Marfil,2350.0 pesos
La Vitrola,1740.0 pesos
La yuya,2150 pesos
Leyendhabana,11.35 dólares
Doña Lis Pizza,1050.0 pesos
Los caneyes,1850.0 pesos
Los Nardos,2123.0 pesos
Mambo 23 y 12,1950.0 pesos
Mar Adentro,3850 pesos
Mercy bar,2150.0 pesos
Mi Bohio,1120 pesos
MMCafeteria,2330 pesos
Monakeño,2600.0 pesos
Mythos,2050.0 pesos
Nel Paradiso,2308.0 pesos
Obispo 510,1200.0 pesos
Parrandas Grill Bar,3000.0 pesos
Pasos Habaneros,510.0 pesos
Pechatniky,1490.0 pesos
Ranchon Don Martin,1925 pesos
Razones y Motivos,2520.0 pesos
Sonar contigo,870 pesos
Tablazo,2600 pesos
Teniente Rey 360,1350.0 pesos
Tonyzz Bar,760.0 pesos
Torre de Marfil,2100.0 pesos
El Vampirito,1000 pesos
Villanueva,1400.0 pesos
Vita Nuova,2220 pesos
